order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,unit_price,discount,gross_revenue,net_revenue,profit
ORD-000001,2024-01-29,2024-01-31,Same Day,CUST-0070,PROD-0013,3,391.75,0.0,1175.25,1175.25,392.6
ORD-000002,2023-06-21,2023-06-26,Standard Class,CUST-0228,PROD-0032,4,11.33,0.1,45.32,40.79,10.81
ORD-000003,2024-08-02,2024-08-06,Second Class,CUST-0087,PROD-0030,2,3.69,0.25,7.38,5.54,0.81
ORD-000004,2023-02-12,2023-02-16,Second Class,CUST-0188,PROD-0035,2,12.08,0.3,24.16,16.91,2.12
ORD-000005,2024-04-05,2024-04-10,Standard Class,CUST-0153,PROD-0003,2,768.06,0.0,1536.12,1536.12,222.4
ORD-000006,2024-12-28,2025-01-01,Second Class,CUST-0416,PROD-0023,1,82.58,0.1,82.58,74.32,27.66
ORD-000007,2024-06-29,2024-07-06,Standard Class,CUST-0292,PROD-0023,1,97.53,0.25,97.53,73.15,-1.45
ORD-000008,2024-11-26,2024-11-28,First Class,CUST-0440,PROD-0033,8,6.34,0.0,50.72,50.72,22.67
ORD-000009,2024-12-19,2024-12-21,First Class,CUST-0444,PROD-0009,1,27.97,0.3,27.97,19.58,0.35
ORD-000010,2024-10-04,2024-10-10,Standard Class,CUST-0073,PROD-0018,1,951.97,0.0,951.97,951.97,201.0
ORD-000011,2024-12-12,2024-12-15,First Class,CUST-0384,PROD-0018,2,896.85,0.0,1793.7,1793.7,713.11
ORD-000012,2024-04-14,2024-04-19,Second Class,CUST-0434,PROD-0006,2,1413.72,0.0,2827.44,2827.44,387.73
ORD-000013,2024-05-21,2024-05-27,Standard Class,CUST-0220,PROD-0014,2,202.1,0.0,404.2,404.2,98.68
ORD-000014,2023-02-17,2023-02-23,Standard Class,CUST-0176,PROD-0004,1,650.45,0.2,650.45,520.36,-51.93
ORD-000015,2023-07-27,2023-07-27,Same Day,CUST-0491,PROD-0028,6,11.52,0.0,69.12,69.12,27.69
ORD-000016,2023-09-14,2023-09-21,Standard Class,CUST-0048,PROD-0024,6,55.05,0.0,330.3,330.3,56.88
ORD-000017,2024-03-15,2024-03-20,Second Class,CUST-0359,PROD-0015,1,517.53,0.25,517.53,388.15,-12.48
ORD-000018,2023-01-10,2023-01-16,Standard Class,CUST-0349,PROD-0029,5,7.68,0.0,38.4,38.4,3.95
ORD-000019,2024-01-28,2024-02-02,Standard Class,CUST-0037,PROD-0015,1,534.46,0.2,534.46,427.57,56.46
ORD-000020,2024-10-18,2024-10-18,Same Day,CUST-0386,PROD-0009,1,29.37,0.0,29.37,29.37,3.4
ORD-000021,2024-10-05,2024-10-09,Second Class,CUST-0180,PROD-0014,3,196.71,0.05,590.13,560.62,59.43
ORD-000022,2023-12-26,2023-12-27,Same Day,CUST-0064,PROD-0025,4,7.6,0.0,30.4,30.4,4.54
ORD-000023,2024-12-08,2024-12-15,Standard Class,CUST-0308,PROD-0019,5,121.4,0.0,607.0,607.0,76.15
ORD-000024,2024-10-23,2024-10-28,Standard Class,CUST-0201,PROD-0019,2,119.01,0.0,238.02,238.02,68.45
ORD-000025,2024-01-05,2024-01-07,First Class,CUST-0271,PROD-0001,2,1066.73,0.0,2133.46,2133.46,572.92
ORD-000026,2023-03-16,2023-03-21,Standard Class,CUST-0089,PROD-0031,1,2.83,0.0,2.83,2.83,1.22
ORD-000027,2023-10-21,2023-10-26,Second Class,CUST-0204,PROD-0033,4,5.91,0.0,23.64,23.64,7.24
ORD-000028,2023-10-12,2023-10-17,Standard Class,CUST-0276,PROD-0010,2,46.09,0.0,92.18,92.18,24.39
ORD-000029,2023-11-14,2023-11-19,Second Class,CUST-0201,PROD-0005,7,1894.51,0.2,13261.57,10609.26,-691.77
ORD-000030,2023-11-13,2023-11-18,Second Class,CUST-0314,PROD-0004,4,553.41,0.0,2213.64,2213.64,731.83
ORD-000031,2023-12-22,2023-12-29,Standard Class,CUST-0084,PROD-0032,1,11.69,0.0,11.69,11.69,4.67
ORD-000032,2023-01-31,2023-02-06,Standard Class,CUST-0376,PROD-0008,1,1094.42,0.0,1094.42,1094.42,307.16
ORD-000033,2024-04-11,2024-04-16,Standard Class,CUST-0040,PROD-0032,2,12.16,0.0,24.32,24.32,3.7
ORD-000034,2023-08-22,2023-08-25,Second Class,CUST-0053,PROD-0008,1,1286.03,0.2,1286.03,1028.82,9.46
ORD-000035,2023-07-03,2023-07-05,First Class,CUST-0472,PROD-0010,3,53.06,0.0,159.18,159.18,34.66
ORD-000036,2024-03-02,2024-03-05,First Class,CUST-0165,PROD-0016,1,81.49,0.0,81.49,81.49,20.44
ORD-000037,2023-07-03,2023-07-10,Standard Class,CUST-0462,PROD-0004,10,653.4,0.2,6534.0,5227.2,835.36
ORD-000038,2023-12-02,2023-12-08,Standard Class,CUST-0397,PROD-0020,1,74.27,0.0,74.27,74.27,12.74
ORD-000039,2024-04-20,2024-04-26,Standard Class,CUST-0319,PROD-0016,10,93.91,0.0,939.1,939.1,252.26
ORD-000040,2023-06-04,2023-06-10,Standard Class,CUST-0408,PROD-0016,1,89.74,0.0,89.74,89.74,29.38
ORD-000041,2023-01-02,2023-01-06,Second Class,CUST-0005,PROD-0022,5,124.41,0.25,622.05,466.54,90.94
ORD-000042,2023-03-03,2023-03-03,Same Day,CUST-0215,PROD-0032,4,11.02,0.0,44.08,44.08,18.02
ORD-000043,2024-12-18,2024-12-21,First Class,CUST-0267,PROD-0027,8,4.58,0.1,36.64,32.98,10.06
ORD-000044,2024-08-29,2024-09-04,Standard Class,CUST-0202,PROD-0005,3,1851.36,0.15,5554.08,4720.97,1984.78
ORD-000045,2023-11-22,2023-11-27,Standard Class,CUST-0202,PROD-0021,1,187.17,0.0,187.17,187.17,53.13
ORD-000046,2023-06-18,2023-06-24,Standard Class,CUST-0080,PROD-0007,2,1308.33,0.0,2616.66,2616.66,348.16
ORD-000047,2023-09-29,2023-10-01,First Class,CUST-0158,PROD-0030,1,4.15,0.0,4.15,4.15,1.36
ORD-000048,2023-12-02,2023-12-09,Standard Class,CUST-0021,PROD-0014,1,193.26,0.0,193.26,193.26,62.01
ORD-000049,2023-02-01,2023-02-02,Same Day,CUST-0134,PROD-0012,3,39.39,0.05,118.17,112.26,41.71
ORD-000050,2023-01-13,2023-01-18,Standard Class,CUST-0072,PROD-0008,1,1276.62,0.0,1276.62,1276.62,385.69
ORD-000051,2024-08-19,2024-08-24,Standard Class,CUST-0331,PROD-0006,1,1414.07,0.0,1414.07,1414.07,321.52
ORD-000052,2023-12-06,2023-12-12,Standard Class,CUST-0066,PROD-0006,1,1680.4,0.0,1680.4,1680.4,570.95
ORD-000053,2024-01-27,2024-01-30,Second Class,CUST-0255,PROD-0002,2,918.33,0.2,1836.66,1469.33,242.48
